Device: Apple iPhone9,3; eSense app version: 4.3.3; ios version: 11.3.1;
BESCHREIBUNG;WERT
NAME MESSUNG;Messung-20112019-121614;;;;
DATUM (SS:MM:SS);20.11.19 12:16:14;;;;
ZEIT (SS:MM:SS);00:02:31;;;;
MAXIMUM;4,36 µS;;;;
MINIMUM;0,45 µS;;;;
DIFFERENZ MIN/MAX;3,91 µS;;;;
DURCHSCHNITT SESSION;3,36 µS;;;;
ZUNAHME (SS:MM:SS);00:00:23;;;;
STETIG (SS:MM:SS);00:00:00;;;;
ABNAHME (SS:MM:SS);00:02:08;;;;
;;;;;
GESAMT SCR;5;;;;
% SCR DER SITZUNG;21,0%;;;;
0-5 SCR/MIN (SS:MM:SS);00:02:40;;;;
6-9 SCR/MIN (SS:MM:SS);00:00:00;;;;
10-15 SCR/MIN (SS:MM:SS);00:00:00;;;;
>16 SCR/MIN (SS:MM:SS);00:00:00;;;;
;;;;;
;;;;;
STATISTIK;;;;;
SEKUNDE;MIKROSIEMENS;ZEITSTEMPEL;SCR;SCR/MIN;MARKIERUNG
45,2;4,32;12:16:59:719;1;2;
45,4;4,33;12:16:59:919;1;2;
45,6;4,34;12:17:00:119;1;2;
45,8;4,35;12:17:00:319;1;2;
46,0;4,35;12:17:00:519;1;2;
46,2;4,36;12:17:00:719;1;2;
46,4;4,35;12:17:00:919;1;2;
46,6;4,35;12:17:01:119;1;2;
46,8;4,35;12:17:01:319;1;2;
47,0;4,35;12:17:01:519;1;2;
47,2;4,34;12:17:01:719;1;2;
47,4;4,33;12:17:01:919;1;2;
47,6;4,32;12:17:02:119;1;2;
47,8;4,30;12:17:02:319;1;2;
48,0;4,29;12:17:02:519;1;2;
48,2;4,27;12:17:02:719;1;2;
48,4;4,26;12:17:02:919;1;2;
48,6;4,25;12:17:03:119;1;2;
48,8;4,24;12:17:03:319;1;2;
49,0;4,23;12:17:03:519;1;2;
49,2;4,22;12:17:03:719;1;2;
49,4;4,20;12:17:03:919;1;2;
49,6;4,19;12:17:04:119;1;2;
49,8;4,17;12:17:04:319;1;3;
50,0;4,16;12:17:04:519;1;3;
50,2;4,14;12:17:04:719;1;3;
50,4;4,13;12:17:04:919;1;3;
50,6;4,11;12:17:05:119;1;3;
50,8;4,10;12:17:05:319;1;3;
51,0;4,08;12:17:05:519;1;3;
51,2;4,07;12:17:05:719;1;3;
51,4;4,05;12:17:05:919;1;3;
51,6;4,04;12:17:06:119;1;3;
51,8;4,02;12:17:06:319;1;3;
52,0;4,01;12:17:06:519;1;3;
52,2;4,00;12:17:06:719;1;3;
52,4;4,00;12:17:06:919;1;3;
52,6;4,01;12:17:07:119;1;3;
52,8;4,03;12:17:07:319;1;3;
53,0;4,06;12:17:07:519;1;3;
53,2;4,09;12:17:07:719;1;3;
53,4;4,13;12:17:07:919;1;3;
53,6;4,16;12:17:08:119;1;3;
53,8;4,19;12:17:08:319;1;3;
54,0;4,21;12:17:08:519;1;3;
54,2;4,23;12:17:08:719;1;3;
54,4;4,24;12:17:08:919;1;3;
54,6;4,24;12:17:09:119;1;3;
54,8;4,25;12:17:09:319;1;3;
55,0;4,25;12:17:09:519;1;3;
55,2;4,25;12:17:09:719;1;3;
55,4;4,24;12:17:09:919;1;3;
55,6;4,24;12:17:10:119;1;3;
55,8;4,24;12:17:10:319;0;3;
56,0;4,23;12:17:10:519;0;3;
56,2;4,22;12:17:10:719;0;3;
56,4;4,21;12:17:10:919;0;3;
56,6;4,20;12:17:11:119;1;3;
56,8;4,19;12:17:11:319;1;3;
